Start Date	03/27/2026
End Date	04/30/2026
Report Type	Apple Music
Storefront Name	Apple Identifier	ISRC	Vendor Identifier	Content Title	Artist	Media Type	Spatial Availability Indicator	Label/Studio/Network	Grid	Product	Total  Royalty Bearing Plays	Net Royalty Total	Currency	Offline Indicator
AE	342853488	MXF600900884	MXF600900884	Si Nos da Igual	Liliana Felipe, Jesusa Rodríguez	1	0	Fonarte Latino SA de CV		Family Monthly PAID	5	0.097580	AED	0
AE	342853488	MXF600900884	MXF600900884	Si Nos da Igual	Liliana Felipe, Jesusa Rodríguez	1	0	Fonarte Latino SA de CV		Family Monthly PAID	2	0.039032	AED	1
AE	364390246	MXF601000122	MXF601000122	Leil El Asheen	Fadi El Saadi	1	0	Fonarte Latino SA de CV		Family Monthly PAID	1	0.019516	AED	0
AE	538520986	MXF601200640	MXF601200640	Divina Tú	Carlos Macías	1	0	Fonarte Latino, S.A. de C.V.		Family Monthly PAID	5	0.097580	AED	0
AE	555716421	MXF601200794	MXF601200794	Deg Al Mani	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Family Monthly PAID	1	0.019516	AED	1
AE	859574584	MXF601400284	MXF601400284	Abominación	José Fors	1	0	Fonarte Latino, S.A. de C.V.		Family Monthly PAID	1	0.019516	AED	0
AE	1542072807	MXF602000673	MXF602000673	Nebtedi Al Hekaya	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Family Monthly PAID	4	0.078064	AED	0
AE	1606804455	MXF602200034	MXF602200034	Laylat Hob ليلة حُب (Noche de Amor)	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Family Monthly PAID	1	0.019516	AED	0
AE	1712350536	MXF602300542	MXF602300542	Dag Al Mani Mix (دق الماني مكس)	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Family Monthly PAID	1	0.019516	AED	0
AE	1783190848	MXF602400368	MXF602400368	La CQ Nuevo Ingreso	Los Alumnos de la CQ NUEVO INGRESO	1	0	Fonarte Latino, S.A. de C.V.		Family Monthly PAID	1	0.019516	AED	1
AE	1783190848	MXF602400368	MXF602400368	La CQ Nuevo Ingreso	Los Alumnos de la CQ NUEVO INGRESO	1	0	Fonarte Latino, S.A. de C.V.		Family Monthly PAID	21	0.409836	AED	0
AE	1806704047	MXF602500057	MXF602500057	Yo te Doy mis Sueños	Los Alumnos de la CQ NUEVO INGRESO	1	0	Fonarte Latino, S.A. de C.V.		Family Monthly PAID	3	0.058548	AED	0
