Start Date	12/26/2025
End Date	01/29/2026
Report Type	Apple Music
Storefront Name	Apple Identifier	Membership Type	Quantity	Net Royalty	Net Royalty Total	Currency	ISRC	Item Title	Item Artist	Item Type	Media Type	Vendor Identifier	Offline Indicator	Label/Studio/Network	Grid
AU	1836495747	Individual Monthly Discounted Promo 1	1	0.009	0.009	AUD	MXF602500172	Serenata Huasteca (feat. Israel Cupich, Roberto Blanco, Tavo Nandayapa & Leika MochÃ¡n)	Iraida Noriega, Blanch, Cupich, Nandayapa TrÃ­o	0	1	MXF602500172	0	Fonarte Latino, S.A. de C.V.	
AU	319834685	Individual Monthly Discounted Promo 15	2	0.014	0.028	AUD	MXF600900156	Es Por Ti	Inspector	0	1	MXF600900156	0	Fonarte Latino, S.A. de C.V.	
AU	319834694	Individual Monthly Discounted Promo 15	1	0.014	0.014	AUD	MXF600900157	Y QuÃ©	Inspector	0	1	MXF600900157	0	Fonarte Latino, S.A. de C.V.	
AU	319834772	Individual Monthly Discounted Promo 15	1	0.014	0.014	AUD	MXF600900168	Our House	Inspector	0	1	MXF600900168	0	Fonarte Latino, S.A. de C.V.	
AU	1836495747	Individual Monthly Discounted Promo 15	1	0.014	0.014	AUD	MXF602500172	Serenata Huasteca (feat. Israel Cupich, Roberto Blanco, Tavo Nandayapa & Leika MochÃ¡n)	Iraida Noriega, Blanch, Cupich, Nandayapa TrÃ­o	0	1	MXF602500172	0	Fonarte Latino, S.A. de C.V.	
AU	160579829	Individual Monthly Discounted Promo 16	1	0.006481	0.006481	AUD	MXF600602067	Rompiendo el Silencio (Veracruz)	Mista G	0	1	MXF600602067	0	Fonarte Latino, S.A. de C.V.	
AU	167022568	Individual Monthly Discounted Promo 16	1	0.006481	0.006481	AUD	MXF600601531	Cautivo en Tu Calor	David Filio	0	1	MXF600601531	0	Fonarte Latino, S.A. de C.V.	
AU	319834714	Individual Monthly Discounted Promo 16	1	0.006481	0.006481	AUD	MXF600900163	BÃ©same Mucho	Inspector	0	1	MXF600900163	0	Fonarte Latino, S.A. de C.V.	
AU	555716421	Individual Monthly Discounted Promo 16	1	0.006481	0.006481	AUD	MXF601200794	Deg Al Mani	Fadi El Saadi	0	1	MXF601200794	1	Fonarte Latino, S.A. de C.V.	
AU	555716421	Individual Monthly Discounted Promo 16	46	0.006481	0.298126	AUD	MXF601200794	Deg Al Mani	Fadi El Saadi	0	1	MXF601200794	0	Fonarte Latino, S.A. de C.V.	
AU	555716427	Individual Monthly Discounted Promo 16	2	0.006481	0.012962	AUD	MXF601200800	Ya Habibi	Fadi El Saadi	0	1	MXF601200800	0	Fonarte Latino, S.A. de C.V.	
AU	1458647777	Individual Monthly Discounted Promo 16	1	0.006481	0.006481	AUD	MXF601900134	Esto No Es para MÃ­	Eufemia	0	1	MXF601900134	0	Fonarte Latino, S.A. de C.V.	
AU	1712350536	Individual Monthly Discounted Promo 16	1	0.006481	0.006481	AUD	MXF602300542	Dag Al Mani Mix (Ø¯Ù‚ Ø§Ù„Ù…Ø§Ù†ÙŠ Ù…ÙƒØ³)	Fadi El Saadi	0	1	MXF602300542	0	Fonarte Latino, S.A. de C.V.	
AU	155929648	Individual Monthly Discounted Promo 19	1	0.01	0.01	AUD	MXF600602705	03:00 a. m.	Eufemia	0	1	MXF600602705	0	Fonarte Latino, S.A. de C.V.	
AU	319834694	Individual Monthly Discounted Promo 19	1	0.01	0.01	AUD	MXF600900157	Y QuÃ©	Inspector	0	1	MXF600900157	0	Fonarte Latino, S.A. de C.V.	
AU	152417291	Family Monthly Discounted Promo 2	1	0.0075	0.0075	AUD	MXF600600992	La Petenera	ZacamandÃº	0	1	MXF600600992	0	Fonarte Latino, S.A. de C.V.	
AU	180112486	Family Monthly Discounted Promo 2	1	0.0075	0.0075	AUD	MXF600600247	Tierra Mestiza	Los Folkloristas	0	1	MXF600600247	0	Fonarte Latino, S.A. de C.V.	
AU	934536124	Family Monthly Discounted Promo 2	1	0.0075	0.0075	AUD	MXF601401007	La Iguana	Son de Madera	0	1	MXF601401007	0	Fonarte Latino, S.A. de C.V.	
AU	1441823704	Family Monthly Discounted Promo 2	1	0.0075	0.0075	AUD	MXF601800632	Pisando Chueco	GorriÃ³n Serrano	0	1	MXF601800632	0	Fonarte Latino, S.A. de C.V.	
AU	739945791	Apple One Family Monthly Gratis Trial	3	0	0	AUD	MXF601301162	Dame Un Tiempecito	Los Korucos	0	1	MXF601301162	1	Fonarte Latino, S.A. de C.V.	
AU	151379085	Apple One Individual Monthly Gratis Trial	1	0	0	AUD	MXF600600319	Azul	Real de Catorce	0	1	MXF600600319	0	Fonarte Latino, S.A. de C.V.	
AU	309521811	Apple One Individual Monthly Gratis Trial	1	0	0	AUD	MXF600900044	La Bacha	JosÃ© Cruz	0	1	MXF600900044	0	Fonarte Latino, S.A. de C.V.	
AU	309474365	Family Monthly Gratis Trial	1	0	0	AUD	MXF600900058	Hace Falta	Ari Brickman	0	1	MXF600900058	0	Fonarte Latino, S.A. de C.V.	
AU	908394524	Family Monthly Gratis Trial	1	0	0	AUD	MXF601400736	Te AbracÃ© en la Noche	Sho Trio	0	1	MXF601400736	0	Fonarte Latino, S.A. de C.V.	
AU	319834685	Individual Monthly Gratis Trial	1	0	0	AUD	MXF600900156	Es Por Ti	Inspector	0	1	MXF600900156	0	Fonarte Latino, S.A. de C.V.	
AU	555716421	Individual Monthly Gratis Trial	3	0	0	AUD	MXF601200794	Deg Al Mani	Fadi El Saadi	0	1	MXF601200794	0	Fonarte Latino, S.A. de C.V.	
