Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency	Anio	Mes
08/03/2025	08/30/2025		MXF600601681	MXF600601681	1	7.32	7.32	MXN	S	153141370	Mc Lu-K, Caballeros Del Plan G	Estableciendo Orden	Fonarte Latino, S.A. de C.V.		H		MX			12	MXN	2025	8
08/03/2025	08/30/2025	7.50984E+12		7.50984E+12	1	54.9	54.9	MXN	S	152430322	Real de Catorce	Nueve	Fonarte Latino, S.A. de C.V.		I		MX			90	MXN	2025	8
08/03/2025	08/30/2025		MXF600600762	MXF600600762	1	7.32	7.32	MXN	S	152394878	Real de Catorce	Presentacion	Fonarte Latino, S.A. de C.V.		H		MX			12	MXN	2025	8
08/03/2025	08/30/2025		MXF600600839	MXF600600839	1	7.32	7.32	MXN	S	152400091	Real de Catorce	Beso de Ginebra	Fonarte Latino, S.A. de C.V.		H		MX			12	MXN	2025	8
08/03/2025	08/30/2025		MXF602400001	MXF602400001	1	9.15	9.15	MXN	S	1724996235	Lucero	Tu Vida Es Mi Vida	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025		MXF601301194	MXF601301194	1	9.15	9.15	MXN	S	765846880	Carlos MacÃ­as	Olvidarte JamÃ¡s	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025		MXF600600830	MXF600600830	1	7.32	7.32	MXN	S	152400042	Real de Catorce	Blues del Atajo	Fonarte Latino, S.A. de C.V.		H		MX			12	MXN	2025	8
08/03/2025	08/30/2025	7.50984E+12		7.50984E+12	1	73.2	73.2	MXN	S	152400035	Real de Catorce	Contraley	Fonarte Latino, S.A. de C.V.		I		MX			120	MXN	2025	8
08/03/2025	08/30/2025		MXF600600763	MXF600600763	1	7.32	7.32	MXN	S	152394880	Real de Catorce	Esta Noche	Fonarte Latino, S.A. de C.V.		H		MX			12	MXN	2025	8
08/03/2025	08/30/2025		MXF600600760	MXF600600760	1	7.32	7.32	MXN	S	152394868	Real de Catorce	Patios de Cristal	Fonarte Latino, S.A. de C.V.		H		MX			12	MXN	2025	8
08/03/2025	08/30/2025		MXF602300556	MXF602300556	1	9.15	9.15	MXN	S	1715055397	Lucero	Hay Unos Ojos	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025	7.50984E+12		7.50984E+12	1	73.2	73.2	MXN	S	1715055387	Lucero	El Gallo de Oro (Las Canciones de la Serie)	Fonarte Latino, S.A. de C.V.		I		MX			120	MXN	2025	8
08/03/2025	08/30/2025		MXF602300509	MXF602300509	1	9.15	9.15	MXN	S	1708640958	Denise GutiÃ©rrez, Alex Mercado	En lo Negro de los Ojos	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025		MXF601200804	MXF601200804	1	10.25	10.25	MXN	S	557984505	Fernando Delgadillo	Hoy Ten Miedo de Mi (Instrumental)	Fonarte Latino, S.A. de C.V.		PR		MX			15	MXN	2025	8
08/03/2025	08/30/2025		MXF601200822	MXF601200822	1	10.25	10.25	MXN	S	557986221	Real de Catorce	Azul	Fonarte Latino, S.A. de C.V.		PR		MX			15	MXN	2025	8
08/03/2025	08/30/2025		MXF601301282	MXF601301282	1	7.32	7.32	MXN	S	786561654	Diego Denver	Nada Personal (feat. Lisset)	Fonarte Latino, S.A. de C.V.		H		MX			12	MXN	2025	8
08/03/2025	08/30/2025		MXF601500065	MXF601500065	2	9.15	18.3	MXN	S	964544784	Paulina Goto	LlÃ©vame Despacio	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025		MXF601600324	MXF601600324	1	9.15	9.15	MXN	S	1129420132	Burbujas	Mugre, Basura y Smog	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025		MXF601600402	MXF601600402	1	9.15	9.15	MXN	S	1145564034	Los Folkloristas	Tierra Mestiza (Con IntroducciÃ³n)	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025		MXF601200640	MXF601200640	1	9.15	9.15	MXN	S	538520986	Carlos MacÃ­as	Divina TÃº	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025		MXF601600557	MXF601600557	1	9.15	9.15	MXN	S	1173641178	Carlos MacÃ­as	Mi CorazÃ³n JamÃ¡s	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025		MXF601700410	MXF601700410	1	9.15	9.15	MXN	S	1299876494	Los Korucos	QuizÃ¡s	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025		MXF601800269	MXF601800269	1	9.15	9.15	MXN	S	1357300240	Big Band Jazz de MÃ©xico	Sway (feat. Daniel Boaventura)	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025		MXF601400865	MXF601400865	1	9.15	9.15	MXN	S	920515704	Rodrigo Rojas	Amor Eterno	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025		MXF601400804	MXF601400804	1	9.15	9.15	MXN	S	909471773	Carlos MacÃ­as	Basta	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025	7.50984E+12		7.50984E+12	1	73.2	73.2	MXN	S	1019790474	Regina Orozco	Canciones Pa'Lavar Trastes	Fonarte Latino, S.A. de C.V.		I		MX		CMA	120	MXN	2025	8
08/03/2025	08/30/2025		MXF601600555	MXF601600555	1	9.15	9.15	MXN	S	1173641176	Carlos MacÃ­as	Yo Me Quedo Contigo	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025	7.50984E+12		7.50984E+12	1	54.9	54.9	MXN	S	153880554	Sanampay	Yo Te Nombro	Fonarte Latino, S.A. de C.V.		I		MX			90	MXN	2025	8
